,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Arraial do Cabo,BR,1575594634,-22.97,-42.02,76.28,89,100,24.45
1,Norman Wells,CA,1575594632,65.28,-126.83,-32.8,66,20,2.24
2,Keffi,NG,1575594699,8.85,7.88,73.4,83,0,5.82
3,Saint-Philippe,CA,1575594630,45.36,-73.48,26.01,73,90,18.34
4,Macusani,PE,1575594701,-14.07,-70.43,36.99,97,96,3.89
5,Tasiilaq,GL,1575594631,65.61,-37.64,24.8,53,0,8.05
6,Airai,TL,1575594635,-8.93,125.41,81.01,43,27,3.29
7,Puerto Ayora,EC,1575594634,-0.74,-90.35,77.0,65,75,17.22
8,Castro,CL,1575594632,-42.48,-73.76,57.2,62,100,11.41
9,Nome,US,1575594631,30.04,-94.42,66.2,82,1,5.82
10,Nanortalik,GL,1575594630,60.14,-45.24,30.13,55,100,7.43
11,Vaini,IN,1575594632,15.34,74.49,66.2,88,43,4.7
12,Hermanus,ZA,1575594635,-34.42,19.24,66.99,51,0,8.5
13,Khanpur,PK,1575594711,28.65,70.66,60.44,27,0,5.79
14,Kusadak,RS,1575594712,44.4,20.8,32.0,81,90,4.7
15,Pangnirtung,CA,1575594632,66.15,-65.72,10.4,60,75,6.93
16,Dikson,RU,1575594629,73.51,80.55,-3.8,95,100,16.55
17,Hobart,AU,1575594050,-42.88,147.33,55.4,62,75,26.4
18,Ahipara,NZ,1575594613,-35.17,173.16,80.01,85,1,6.8
19,Katsuura,JP,1575594633,33.93,134.5,52.0,52,75,11.41
20,Rikitea,PF,1575594131,-23.12,-134.97,78.08,81,79,10.38
21,Ancud,CL,1575594632,-41.87,-73.83,57.2,62,100,11.41
22,Puerto Colombia,CO,1575594720,10.99,-74.96,82.4,83,40,10.29
23,Ushuaia,AR,1575594160,-54.81,-68.31,42.8,81,75,39.15
24,East London,ZA,1575594631,-33.02,27.91,65.93,77,25,19.35
25,Sao Geraldo do Araguaia,BR,1575594724,-6.4,-48.55,76.84,79,25,3.15
26,Narsaq,GL,1575594633,60.91,-46.05,19.4,37,74,3.36
27,Sao Filipe,CV,1575594635,14.9,-24.5,68.47,78,98,18.97
28,Yar-Sale,RU,1575594647,66.83,70.83,5.9,96,100,3.31
29,Snasa,NO,1575594649,64.25,12.38,25.7,93,99,12.24
30,Qaanaaq,GL,1575594140,77.48,-69.36,0.0,66,90,6.96
31,Eidsvag,NO,1575594730,62.78,8.07,37.4,86,96,25.28
32,Nantucket,US,1575594731,41.28,-70.1,41.0,51,90,11.41
33,Chuy,UY,1575594637,-33.69,-53.46,58.41,75,31,6.62
34,Bud,NO,1575594733,62.91,6.91,41.0,93,90,10.29
35,Tecoanapa,MX,1575594734,16.99,-99.26,82.4,78,40,4.7
36,Ketchikan,US,1575594691,55.34,-131.65,39.2,91,20,5.82
37,Megion,RU,1575594736,61.04,76.11,19.4,85,90,11.18
38,Oak Creek,US,1575594682,42.89,-87.86,42.8,69,90,4.7
39,Punta Arenas,CL,1575594631,-53.16,-70.91,50.0,53,40,29.97
40,Port Alfred,ZA,1575594632,-33.59,26.89,61.0,87,0,4.0
41,Hamilton,CA,1575594648,43.26,-79.87,34.0,74,90,8.05
42,Anadyr,RU,1575594741,64.73,177.51,19.4,73,75,20.13
43,Neyshabur,IR,1575594742,36.21,58.79,44.28,75,81,13.27
44,Bethel,US,1575594632,60.79,-161.76,15.8,85,90,11.41
45,Ust-Tsilma,RU,1575594744,65.44,52.15,12.85,93,100,7.94
46,Beloha,MG,1575594645,-25.17,45.06,68.18,68,75,11.86
47,Mataura,NZ,1575594631,-46.19,168.86,55.0,81,100,11.99
48,Bluff,AU,1575594630,-23.58,149.07,90.23,38,0,7.65
49,San Nicolas,PH,1575594749,13.93,120.95,84.0,78,20,2.24
50,Pasir Gudang,MY,1575594750,1.46,103.88,82.4,74,98,6.93
51,Port Elizabeth,US,1575594634,39.31,-74.98,43.0,51,20,6.93
52,Dingle,PH,1575594752,11.0,122.67,78.8,86,95,6.35
53,Alofi,NU,1575594648,-19.06,-169.92,86.0,66,75,9.17
54,Battle Creek,US,1575594754,42.32,-85.18,41.0,56,90,4.7
55,Zhongshu,CN,1575594755,24.52,103.77,34.36,91,63,2.75
56,Oparino,RU,1575594756,59.85,48.28,34.21,97,100,15.26
57,Longview,US,1575594757,32.5,-94.74,66.2,59,1,9.17
58,Lompoc,US,1575594471,34.64,-120.46,60.8,72,1,12.95
59,Santa Vitoria do Palmar,BR,1575594759,-33.52,-53.37,58.41,75,31,6.62
60,Harper,US,1575594760,30.3,-99.24,64.99,72,1,3.36
61,Tairua,NZ,1575594761,-37.02,175.85,73.99,75,0,8.01
62,Alyangula,AU,1575594762,-13.85,136.42,89.6,40,30,10.29
63,Constitucion,MX,1575594644,23.99,-104.67,77.0,11,40,3.36
64,Pizarro,CO,1575594764,4.95,-77.37,80.19,85,4,9.6
65,Kachug,RU,1575594765,53.96,105.89,-6.12,100,95,1.43
66,Georgetown,GY,1575594634,6.8,-58.16,82.4,78,20,4.7
67,Amahai,ID,1575594768,-3.31,129.0,83.66,71,97,3.06
68,Trang,TH,1575594769,7.56,99.61,77.0,78,20,5.82
69,Kavieng,PG,1575594644,-2.57,150.8,84.04,68,84,1.61
70,Hilo,US,1575594596,19.71,-155.08,73.4,78,90,5.12
71,Kapaa,US,1575594634,22.08,-159.32,82.4,74,40,13.87
72,Saskylakh,RU,1575594631,71.97,114.09,-34.82,99,9,2.57
73,Oxelosund,SE,1575594595,58.67,17.1,44.6,87,75,13.87
74,Ust-Ilimsk,RU,1575594775,57.96,102.73,1.4,91,63,4.76
75,Jamestown,AU,1575594633,-33.21,138.6,71.11,25,0,8.61
76,Cherskiy,RU,1575594643,68.75,161.3,1.62,65,30,9.64
77,Rawson,AR,1575594778,-43.3,-65.11,59.7,63,17,2.8
78,Mehamn,NO,1575594779,71.03,27.85,32.79,98,100,0.78
79,Taoudenni,ML,1575594780,22.68,-3.98,62.46,27,18,4.85
80,Cape Town,ZA,1575594363,-33.93,18.42,73.0,43,0,10.29
81,Avarua,CK,1575594630,-21.21,-159.78,80.6,78,0,16.11
82,Tiksi,RU,1575594642,71.64,128.87,-12.35,100,100,4.23
83,Cabo San Lucas,MX,1575594636,22.89,-109.91,77.0,73,5,5.82
84,Rexburg,US,1575594785,43.82,-111.79,32.0,80,90,3.36
85,Mayo,CA,1575594786,63.59,-135.9,-29.2,73,75,3.36
86,Paka,CF,1575594788,4.15,15.03,69.26,53,48,1.59
